,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,2-STORY 1946 & NEWER,Residential Low Density,65.0,8450,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,1Fam,Two story,Good,Good,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,196.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Good Living Quarters,706,Unfinshed,0,150,856,Gas forced warm air furnace,Excellent,Yes,SBrkr,856,854,0,1710,1,0,2,1,3,1,Good,8,Typ,0,No Fireplace,Attchd,2003.0,RFn,2,548,TA,TA,Paved,0,61,0,0,0,0,No Pool,No Fence,None,0,2,2008,Warranty Deed - Conventional,Normal,208500
1,2,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,9600,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of property,Gentle slope,Veenker,Adjacent to feeder street,Normal,1Fam,One story,Above Average,Above Average,1976,1976,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Good,Typical,Gd,Average Living Quarters,978,Unfinshed,0,284,1262,Gas forced warm air furnace,Excellent,Yes,SBrkr,1262,0,0,1262,0,1,2,0,3,1,Typical/Average,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Paved,298,0,0,0,0,0,No Pool,No Fence,None,0,5,2007,Warranty Deed - Conventional,Normal,181500
2,3,2-STORY 1946 & NEWER,Residential Low Density,68.0,11250,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,1Fam,Two story,Good,Good,2001,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,162.0,Good,Average/Typical,Poured Contrete,Good,Typical,Mn,Good Living Quarters,486,Unfinshed,0,434,920,Gas forced warm air furnace,Excellent,Yes,SBrkr,920,866,0,1786,1,0,2,1,3,1,Good,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Paved,0,42,0,0,0,0,No Pool,No Fence,None,0,9,2008,Warranty Deed - Conventional,Normal,223500
3,4,2-STORY 1945 & OLDER,Residential Low Density,60.0,9550,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Crawford,Normal,Normal,1Fam,Two story,Good,Good,1915,1970,Gable,Standard (Composite) Shingle,Wood Siding,Wd Shng,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical,Good,No,Average Living Quarters,216,Unfinshed,0,540,756,Gas forced warm air furnace,Good,Yes,SBrkr,961,756,0,1717,1,0,1,0,3,1,Good,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Paved,0,35,272,0,0,0,No Pool,No Fence,None,0,2,2006,Warranty Deed - Conventional,Abnorml,140000
4,5,2-STORY 1946 & NEWER,Residential Low Density,84.0,14260,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of property,Gentle slope,Northridge,Normal,Normal,1Fam,Two story,Very Good,Very Good,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,350.0,Good,Average/Typical,Poured Contrete,Good,Typical,Av,Good Living Quarters,655,Unfinshed,0,490,1145,Gas forced warm air furnace,Excellent,Yes,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Good,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Paved,192,84,0,0,0,0,No Pool,No Fence,None,0,12,2008,Warranty Deed - Conventional,Normal,250000
5,6,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,85.0,14115,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Mitchell,Normal,Normal,1Fam,One and one-half story: 2nd level finished,Average,Average,1993,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Wood,Good,Typical,No,Good Living Quarters,732,Unfinshed,0,64,796,Gas forced warm air furnace,Excellent,Yes,SBrkr,796,566,0,1362,1,0,1,1,1,1,Typical/Average,5,Typ,0,No Fireplace,Attchd,1993.0,Unf,2,480,TA,TA,Paved,40,30,0,320,0,0,No Pool,Minimum Privacy,Shed,700,10,2009,Warranty Deed - Conventional,Normal,143000
6,7,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,75.0,10084,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,1Fam,One story,Very Good,Very Good,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,186.0,Good,Average/Typical,Poured Contrete,Excellent,Typical,Av,Good Living Quarters,1369,Unfinshed,0,317,1686,Gas forced warm air furnace,Excellent,Yes,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Good,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Paved,255,57,0,0,0,0,No Pool,No Fence,None,0,8,2007,Warranty Deed - Conventional,Normal,307000
7,8,2-STORY 1946 & NEWER,Residential Low Density,70.04995836802665,10382,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northwest Ames,"Near positive off-site feature--park, greenbelt, etc.",Normal,1Fam,Two story,Good,Good,1973,1973,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Stone,240.0,Average/Typical,Average/Typical,Cinder Block,Good,Typical,Mn,Average Living Quarters,859,Below Average Living Quarters,32,216,1107,Gas forced warm air furnace,Excellent,Yes,SBrkr,1107,983,0,2090,1,0,2,1,3,1,Typical/Average,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Paved,235,204,228,0,0,0,No Pool,No Fence,Shed,350,11,2009,Warranty Deed - Conventional,Normal,200000
8,9,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,51.0,6120,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to arterial street,Normal,1Fam,One and one-half story: 2nd level finished,Good,Good,1931,1950,Gable,Standard (Composite) Shingle,Brick Face,Wd Shng,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical,Typical,No,Unfinshed,0,Unfinshed,0,952,952,Gas forced warm air furnace,Good,Yes,FuseF,1022,752,0,1774,0,0,2,0,2,2,Typical/Average,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Paved,90,0,205,0,0,0,No Pool,No Fence,None,0,4,2008,Warranty Deed - Conventional,Abnorml,129900
9,10,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low Density,50.0,7420,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Brookside,Adjacent to arterial street,Adjacent to arterial street,2fmCon,One and one-half story: 2nd level unfinished,Average,Average,1939,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical,Typical,No,Good Living Quarters,851,Unfinshed,0,140,991,Gas forced warm air furnace,Excellent,Yes,SBrkr,1077,0,0,1077,1,0,1,0,2,2,Typical/Average,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Paved,0,4,0,0,0,0,No Pool,No Fence,None,0,1,2008,Warranty Deed - Conventional,Normal,118000
